ID,infection,diet,day,dailyfood
Blue035,mg,protein,-7,2.934166667
Blue035,mg,protein,-6,3.914166667
Blue035,mg,protein,-5,4.264166667
Blue035,mg,protein,-4,2.884166667
Blue035,mg,protein,-3,8.124166667
Blue035,mg,protein,-2,8.316666667
Blue035,mg,protein,-1,8.103333333
Blue035,mg,protein,1,4.313333333
Blue035,mg,protein,2,1.306666667
Blue035,mg,protein,3,0.263333333
Blue035,mg,protein,4,3.49
Blue035,mg,protein,5,3.686666667
Blue035,mg,protein,6,5.173333333
Blue035,mg,protein,7,3.41
Blue035,mg,protein,8,7.706666667
Blue035,mg,protein,9,5.59
Blue035,mg,protein,10,6.653333333
Blue035,mg,protein,11,1.66
Blue035,mg,protein,12,5.613333333
Blue035,mg,protein,13,5.886666667
Blue035,mg,protein,14,6.39
Blue035,mg,protein,15,5.143333333
Blue035,mg,protein,16,6.48
Blue035,mg,protein,17,6.393333333
Blue035,mg,protein,18,6.35
Blue035,mg,protein,19,6.393333333
Blue035,mg,protein,20,6.78
Blue035,mg,protein,21,6.413333333
Blue035,mg,protein,22,7.423333333
Blue035,mg,protein,23,6.903333333
Blue035,mg,protein,24,7.326666667
Blue035,mg,protein,25,6.04
Blue035,mg,protein,26,6.063333333
Blue035,mg,protein,27,6.6
Blue035,mg,protein,28,6.2
Blue042,mg,protein,-7,4.944166667
Blue042,mg,protein,-6,2.804166667
Blue042,mg,protein,-5,3.704166667
Blue042,mg,protein,-4,6.774166667
Blue042,mg,protein,-3,6.594166667
Blue042,mg,protein,-2,8.756666667
Blue042,mg,protein,-1,3.543333333
Blue042,mg,protein,1,4.333333333
Blue042,mg,protein,2,3.076666667
Blue042,mg,protein,3,0.533333333
Blue042,mg,protein,4,3.27
Blue042,mg,protein,5,4.576666667
Blue042,mg,protein,6,2.593333333
Blue042,mg,protein,7,3.63
Blue042,mg,protein,8,3.566666667
Blue042,mg,protein,9,6.38
Blue042,mg,protein,10,3.973333333
Blue042,mg,protein,11,2.62
Blue042,mg,protein,12,5.623333333
Blue042,mg,protein,13,6.516666667
Blue042,mg,protein,14,6.39
Blue042,mg,protein,15,5.503333333
Blue042,mg,protein,16,5.16
Blue042,mg,protein,17,5.543333333
Blue042,mg,protein,18,6.25
Blue042,mg,protein,19,5.053333333
Blue042,mg,protein,20,4.93
Blue042,mg,protein,21,7.063333333
Blue042,mg,protein,22,6.973333333
Blue042,mg,protein,23,6.553333333
Blue042,mg,protein,24,6.076666667
Blue042,mg,protein,25,6.58
Blue042,mg,protein,26,6.273333333
Blue042,mg,protein,27,6.79
Blue042,mg,protein,28,6.69
Blue045,mg,protein,-7,5.903333333
Blue045,mg,protein,-6,7.816666667
Blue045,mg,protein,-5,9.176666667
Blue045,mg,protein,-4,6.72
Blue045,mg,protein,-3,6.446666667
Blue045,mg,protein,-2,8.943333333
Blue045,mg,protein,-1,6.743333333
Blue045,mg,protein,1,6.273333333
Blue045,mg,protein,2,2.273333333
Blue045,mg,protein,3,7.15
Blue045,mg,protein,4,7.94
Blue045,mg,protein,5,6.813333333
Blue045,mg,protein,6,5.036666667
Blue045,mg,protein,7,6.146666667
Blue045,mg,protein,8,9.32
Blue045,mg,protein,9,7.823333333
Blue045,mg,protein,10,7.093333333
Blue045,mg,protein,11,7.573333333
Blue045,mg,protein,12,6.36
Blue045,mg,protein,13,7.346666667
Blue045,mg,protein,14,6.946666667
Blue045,mg,protein,15,5.736666667
Blue045,mg,protein,16,4.936666667
Blue045,mg,protein,17,5.523333333
Blue045,mg,protein,18,5.436666667
Blue045,mg,protein,19,8.12
Blue045,mg,protein,20,6.03
Blue045,mg,protein,21,7.023333333
Blue045,mg,protein,22,5.263333333
Blue045,mg,protein,23,6.166666667
Blue045,mg,protein,24,6.183333333
Blue045,mg,protein,25,5.856666667
Blue045,mg,protein,26,7.25
Blue045,mg,protein,27,6.2
Blue045,mg,protein,28,6.366666667
Blue037,mg,protein,-7,5.463333333
Blue037,mg,protein,-6,5.776666667
Blue037,mg,protein,-5,6.886666667
Blue037,mg,protein,-4,8.47
Blue037,mg,protein,-3,6.886666667
Blue037,mg,protein,-2,6.823333333
Blue037,mg,protein,-1,5.483333333
Blue037,mg,protein,1,4.353333333
Blue037,mg,protein,2,3.373333333
Blue037,mg,protein,3,4.47
Blue037,mg,protein,4,3.63
Blue037,mg,protein,5,2.223333333
Blue037,mg,protein,6,4.076666667
Blue037,mg,protein,7,2.626666667
Blue037,mg,protein,8,6.67
Blue037,mg,protein,9,5.243333333
Blue037,mg,protein,10,4.143333333
Blue037,mg,protein,11,5.183333333
Blue037,mg,protein,12,4.84
Blue037,mg,protein,13,6.176666667
Blue037,mg,protein,14,4.846666667
Blue037,mg,protein,15,4.856666667
Blue037,mg,protein,16,5.456666667
Blue037,mg,protein,17,3.163333333
Blue037,mg,protein,18,4.306666667
Blue037,mg,protein,19,5.76
Blue037,mg,protein,20,3.99
Blue037,mg,protein,21,6.233333333
Blue037,mg,protein,22,5.983333333
Blue037,mg,protein,23,5.886666667
Blue037,mg,protein,24,5.433333333
Blue037,mg,protein,25,4.826666667
Blue037,mg,protein,26,7.25
Blue037,mg,protein,27,4.11
Blue037,mg,protein,28,4.926666667
Blue032,mg,protein,-7,5.343333333
Blue032,mg,protein,-6,6.166666667
Blue032,mg,protein,-5,8.456666667
Blue032,mg,protein,-4,8.6
Blue032,mg,protein,-3,7.496666667
Blue032,mg,protein,-2,11.64333333
Blue032,mg,protein,-1,9.603333333
