ID,infection,diet,week,sumfood
Blue035,mg,protein,0,38.54083333
Blue035,mg,protein,1,21.64333333
Blue035,mg,protein,2,39.5
Blue035,mg,protein,3,43.95333333
Blue035,mg,protein,4,46.55666667
Blue042,mg,protein,0,37.12083333
Blue042,mg,protein,1,22.01333333
Blue042,mg,protein,2,35.07
Blue042,mg,protein,3,39.50333333
Blue042,mg,protein,4,45.93666667
Blue045,mg,protein,0,51.75
Blue045,mg,protein,1,41.63333333
Blue045,mg,protein,2,52.46333333
Blue045,mg,protein,3,42.80666667
Blue045,mg,protein,4,43.28666667
Blue037,mg,protein,0,45.79
Blue037,mg,protein,1,24.75333333
Blue037,mg,protein,2,37.10333333
Blue037,mg,protein,3,33.76666667
Blue037,mg,protein,4,38.41666667
Blue032,mg,protein,0,57.31
Blue032,mg,protein,1,42.97333333
Blue032,mg,protein,2,55.79333333
Blue032,mg,protein,3,42.72666667
Blue032,mg,protein,4,43.29666667
SEM1974,mg,protein,0,38.11666667
SEM1974,mg,protein,1,-6.896666667
SEM1974,mg,protein,2,35.21
SEM1974,mg,protein,3,56.75
SEM1974,mg,protein,4,76.21
SEM191481,mg,protein,0,75.64666667
SEM191481,mg,protein,1,49.76
SEM191481,mg,protein,2,74.88
SEM191481,mg,protein,3,69.28
SEM191481,mg,protein,4,72.71333333
106,mg,protein,0,39.47666667
106,mg,protein,1,24.73333333
106,mg,protein,2,29.26333333
106,mg,protein,3,41.66
106,mg,protein,4,52.34
610,mg,protein,0,98.76666667
610,mg,protein,1,45.93
610,mg,protein,2,99.33
610,mg,protein,3,102.9
610,mg,protein,4,103.6733333
SEM19107,mg,protein,0,101.9866667
SEM19107,mg,protein,1,62.22
SEM19107,mg,protein,2,93.72
SEM19107,mg,protein,3,106.91
SEM19107,mg,protein,4,106.4433333
Blue049,control,protein,0,42.35083333
Blue049,control,protein,1,43.66333333
Blue049,control,protein,2,48.63
Blue049,control,protein,3,36.34333333
Blue049,control,protein,4,47.64666667
Orange24,control,protein,0,46.06083333
Orange24,control,protein,1,57.18333333
Orange24,control,protein,2,44.36
Orange24,control,protein,3,35.07333333
Blue024,control,protein,0,48.5
Blue024,control,protein,1,38.10333333
Blue024,control,protein,2,39.60333333
Blue024,control,protein,3,34.37666667
Blue024,control,protein,4,36.89666667
Blue013,control,protein,0,66.39
Blue013,control,protein,1,54.50333333
Blue013,control,protein,2,61.11666667
Blue013,control,protein,3,76.01666667
Blue013,control,protein,4,85.78333333
601,control,protein,0,28.77666667
601,control,protein,1,28.49333333
601,control,protein,2,35.23
601,control,protein,3,41.66
601,control,protein,4,52.34
SEM191354,control,protein,0,34.49666667
SEM191354,control,protein,1,31.09333333
SEM191354,control,protein,2,32.22
SEM191354,control,protein,3,36.8
SEM191354,control,protein,4,45.13
172,control,protein,0,56.82666667
172,control,protein,1,50.08333333
172,control,protein,2,47.08
172,control,protein,3,53.82
172,control,protein,4,49.37
617,control,protein,0,39.08666667
617,control,protein,1,31.93333333
617,control,protein,2,28.04
617,control,protein,3,34.66
617,control,protein,4,37.7
615,control,protein,0,109.3066667
615,control,protein,1,109.67
615,control,protein,2,107.072
615,control,protein,3,105.75
615,control,protein,4,102.7333333
164,control,protein,0,58.94666667
164,control,protein,1,49.36
164,control,protein,2,58.21
164,control,protein,3,57.06
164,control,protein,4,59.87333333
Blue093,mg,lipid,0,24.69731481
Blue043,mg,lipid,0,12.86731481
Blue043,mg,lipid,1,26.51333333
Blue043,mg,lipid,2,23.76333333
Blue043,mg,lipid,3,27.15
Blue043,mg,lipid,4,33.72666667
161LS,mg,lipid,0,30.13731481
101LS,mg,lipid,0,26.36666667
101LS,mg,lipid,1,17.15
101LS,mg,lipid,2,35.14666667
101LS,mg,lipid,3,37.05666667
101LS,mg,lipid,4,24.93333333
Blue015,mg,lipid,0,34.39666667
Blue015,mg,lipid,1,23.87
Blue015,mg,lipid,2,38.44666667
Blue015,mg,lipid,3,25.08666667
Blue015,mg,lipid,4,22.86333333
619,mg,lipid,0,33.05666667
619,mg,lipid,1,15.95
619,mg,lipid,2,28.69
619,mg,lipid,3,25.24
619,mg,lipid,4,36.32333333
SEM1976,mg,lipid,0,72.98333333
SEM1976,mg,lipid,1,61.18
SEM1976,mg,lipid,2,51.68
SEM1976,mg,lipid,3,59.70333333
SEM1976,mg,lipid,4,51.23666667
209,mg,lipid,0,58.71333333
209,mg,lipid,1,36.82
209,mg,lipid,2,44.41
209,mg,lipid,3,36.36333333
209,mg,lipid,4,40.69666667
LD19239,mg,lipid,0,89.16333333
LD19239,mg,lipid,1,66.35
LD19239,mg,lipid,2,79.67
LD19239,mg,lipid,3,36.36333333
LD19239,mg,lipid,4,40.69666667
Blue031,mg,lipid,0,26.36666667
Blue031,mg,lipid,1,17.14
Blue031,mg,lipid,2,35.12666667
Blue031,mg,lipid,3,36.55666667
Blue031,mg,lipid,4,24.93333333
Blue055,mg,lipid,0,39.67666667
Blue055,mg,lipid,1,10.44
Blue055,mg,lipid,2,26.61666667
Orange027,mg,lipid,0,53.44333333
Orange027,mg,lipid,1,70.24
AR1721 ,mg,lipid,0,54.67333333
AR1721 ,mg,lipid,1,33.51
AR1721 ,mg,lipid,2,49.56
AR1721 ,mg,lipid,3,35.97333333
AR1721 ,mg,lipid,4,48.75666667
48,control,lipid,0,13.80731481
48,control,lipid,1,38.32333333
48,control,lipid,2,31.61333333
48,control,lipid,3,32.61
48,control,lipid,4,45.46666667
Blue039,control,lipid,0,25.89666667
Blue039,control,lipid,1,12.19
Blue039,control,lipid,2,21.83666667
Blue039,control,lipid,3,13.26666667
Blue039,control,lipid,4,24.70333333
Blue098,control,lipid,0,29.72
Blue098,control,lipid,1,33.41666667
Blue098,control,lipid,2,27.51666667
Blue098,control,lipid,3,38.78333333
Blue098,control,lipid,4,32.45
618,control,lipid,0,24.61666667
618,control,lipid,1,34.31
618,control,lipid,2,31.35
618,control,lipid,3,35.03
618,control,lipid,4,36.20333333
Blue047,control,lipid,0,38.57666667
Blue047,control,lipid,1,43.12
Blue047,control,lipid,2,40.72
Blue047,control,lipid,3,35.37
Blue047,control,lipid,4,39.21333333
Blue010,control,lipid,0,84.09333333
Blue010,control,lipid,1,87.08
Blue010,control,lipid,2,93.68
Blue010,control,lipid,3,88.30333333
Blue010,control,lipid,4,87.92666667
Blue050,control,lipid,0,33.11333333
Blue050,control,lipid,1,23.65
Blue050,control,lipid,2,34.98
Blue050,control,lipid,3,31.38333333
Blue050,control,lipid,4,35.50666667
SEM19140,control,lipid,0,50.07333333
SEM19140,control,lipid,1,41.82
SEM19140,control,lipid,2,45.01
SEM19140,control,lipid,3,39.16333333
SEM19140,control,lipid,4,36.62666667
625,control,lipid,0,81.52333333
625,control,lipid,1,81.57
