Bird ID,Diet,infection,Day,mass,fat
48,lipid,control,0,23,2
Blue039,lipid,control,0,30.36,3
Blue098,lipid,control,0,19.84,0
Blue047,lipid,control,0,21.91,2
618,lipid,control,0,28.35,3
Blue010,lipid,control,0,18.67,0.5
Blue050,lipid,control,0,17.53,3
SEM19140,lipid,control,0,30.47,3
625,lipid,control,0,20.86,1
Blue043,lipid,MG,0,18.87,0
Blue015,lipid,MG,0,20.92,2
Blue055,lipid,MG,0,24.67,3
101LS,lipid,MG,0,23.97,3
Blue031,lipid,MG,0,19.89,3
619,lipid,MG,0,29.53,3
SEM1976,lipid,MG,0,25.84,3
209,lipid,MG,0,20.67,3
LD19239,lipid,MG,0,23.65,2.5
Orange27,lipid,MG,0,18.52,0.5
AR1721 ,lipid,MG,0,23.79,1.5
Blue049,protein,control,0,30.49,3
Orange24,protein,control,0,22.29,0.5
Blue024,protein,control,0,22.06,3
Blue013,protein,control,0,21.23,0
615,protein,control,0,18.89,1
601,protein,control,0,27.13,3
SEM191354,protein,control,0,21.83,1.5
172,protein,control,0,21.68,1.5
617,protein,control,0,26.08,3
164,protein,control,0,25.17,2
Blue035,protein,MG,0,27.99,3
Blue042,protein,MG,0,22.48,2
Blue045,protein,MG,0,19.34,1
Blue032,protein,MG,0,21.21,1.5
Blue037,protein,MG,0,20.97,2.5
106,protein,MG,0,27.06,2
SEM1974,protein,MG,0,25.67,3
SEM191481,protein,MG,0,22.93,1
610,protein,MG,0,25.58,3
SEM19107,protein,MG,0,23.12,1
48,lipid,control,7,22.69,2
Blue039,lipid,control,7,25.99,3
Blue098,lipid,control,7,19.31,2.5
Blue047,lipid,control,7,21.76,2.5
618,lipid,control,7,27.28,3
Blue010,lipid,control,7,19.53,2
Blue050,lipid,control,7,15.82,1
SEM19140,lipid,control,7,29.5,3
625,lipid,control,7,20.2,1
Blue043,lipid,MG,7,18.73,0.5
Blue015,lipid,MG,7,19.57,0.5
Blue055,lipid,MG,7,19.46,1
101LS,lipid,MG,7,21.16,3
Blue031,lipid,MG,7,17.47,1
619,lipid,MG,7,22.29,3
SEM1976,lipid,MG,7,22.74,2.5
209,lipid,MG,7,18.14,2.5
LD19239,lipid,MG,7,22.62,2
Orange27,lipid,MG,7,16.88,0.5
AR1721 ,lipid,MG,7,19.02,0
Blue049,protein,control,7,28.32,3
Orange24,protein,control,7,21.57,1
Blue024,protein,control,7,21.51,3
Blue013,protein,control,7,21.06,0.5
615,protein,control,7,19.35,0.5
601,protein,control,7,27.36,3
SEM191354,protein,control,7,20.44,1
172,protein,control,7,21.15,1
617,protein,control,7,22.89,3
164,protein,control,7,24.83,2.5
Blue035,protein,MG,7,23.57,2
Blue042,protein,MG,7,19.94,1
Blue045,protein,MG,7,19.82,0.5
Blue032,protein,MG,7,20.43,1.5
Blue037,protein,MG,7,18.26,1
