Bird ID ,Infection ,Diet,Day ,Basophil,Eosinphil,Heterophil,Lymphocyte,Monocyte,H/L Ratio
48,Control,Lipid,0,0,0,11,78,11,0.141025641
48,Control,Lipid,7,1,0,7,88,5,0.079545455
48,Control,Lipid,14,0,1,10,79,10,0.126582278
48,Control,Lipid,21,0,0,16,74,10,0.216216216
618,Control,Lipid,0,0,7,6,86,1,0.069767442
618,Control,Lipid,7,0,6,8,86,0,0.093023256
618,Control,Lipid,21,0,9,2,89,0,0.02247191
625,Control,Lipid,0,0,2,8,90,0,0.088888889
625,Control,Lipid,7,0,4,11,84,1,0.130952381
625,Control,Lipid,21,0,11,7,77,5,0.090909091
Blue010,Control,Lipid,0,0,9,10,81,0,0.12345679
Blue010,Control,Lipid,7,0,8,16,76,0,0.210526316
Blue010,Control,Lipid,14,0,15,15,64,6,0.234375
Blue010,Control,Lipid,21,0,5,6,87,2,0.068965517
Blue047,Control,Lipid,0,0,4,21,75,0,0.28
Blue047,Control,Lipid,7,0,10,2,88,0,0.022727273
Blue047,Control,Lipid,7,0,10,2,88,0,0.022727273
Blue047,Control,Lipid,21,0,16,20,62,2,0.322580645
Blue050,Control,Lipid,0,0,0,12,87,1,0.137931034
Blue050,Control,Lipid,7,0,7,18,68,8,0.264705882
Blue050,Control,Lipid,21,0,20,39,41,0,0.951219512
Blue098,Control,Lipid,7,0,10,6,73,11,0.082191781
Blue098 ,Control,Lipid,14,0,16,15,65,4,0.230769231
Blue098,Control,Lipid,21,0,12,7,77,4,0.090909091
SEM19140,Control,Lipid,0,0,0,11,88,1,0.125
SEM19140,Control,Lipid,7,0,4,5,90,1,0.055555556
SEM19140,Control,Lipid,14,1,3,12,84,0,0.142857143
SEM19140,Control,Lipid,21,0,0,9,73,18,0.123287671
164,Control,Protein,0,0,1,5,94,0,0.053191489
164,Control,Protein,7,1,8,3,90,0,0.033333333
164,Control,Protein,21,0,9,6,81,4,0.074074074
172,Control,Protein,0,0,11,14,75,0,0.186666667
172,Control,Protein,7,0,1,18,81,0,0.222222222
172,Control,Protein,14,0,3,13,82,2,0.158536585
172,Control,Protein,21,0,4,9,86,1,0.104651163
601,Control,Protein,0,2,2,1,95,0,0.010526316
601,Control,Protein,7,0,7,6,87,0,0.068965517
601,Control,Protein,21,0,6,4,87,3,0.045977011
615,Control,Protein,0,0,4,8,89,0,0.08988764
615,Control,Protein,7,0,4,9,76,11,0.118421053
615,Control,Protein,14,0,8,13,79,0,0.164556962
615,Control,Protein,21,0,11,10,77,2,0.12987013
617,Control,Protein,0,0,6,4,89,1,0.04494382
617,Control,Protein,7,0,9,8,79,4,0.101265823
617,Control,Protein,21,0,4,5,90,1,0.055555556
Blue013,Control,Protein,0,2,0,3,95,0,0.031578947
Blue013,Control,Protein,7,0,6,8,84,2,0.095238095
Blue013,Control,Protein,14,0,7,18,70,5,0.257142857
Blue013,Control,Protein,21,0,8,17,73,2,0.232876712
Blue024,Control,Protein,0,0,0,9,91,0,0.098901099
Blue024,Control,Protein,7,0,3,5,83,9,0.060240964
Blue024,Control,Protein,14,0,3,13,84,0,0.154761905
Blue024,Control,Protein,21,0,5,9,83,3,0.108433735
Blue039,Control,Protein,0,0,0,6,91,3,0.065934066
Blue039,Control,Protein,7,0,2,17,78,3,0.217948718
Blue039,Control,Protein,14,0,6,11,82,1,0.134146341
Blue039,Control,Protein,21,0,1,19,80,0,0.2375
Blue049,Control,Protein,0,2,0,4,88,6,0.045454545
Blue049,Control,Protein,7,3,3,7,76,11,0.092105263
Blue049,Control,Protein,14,0,0,5,86,9,0.058139535
