ID,sex,infection,Day,Lipid,Protein,Total
608,M,c,-7,6.13,2.72,8.85
608,M,c,-6,3.015,5.755,8.77
608,M,c,-5,5.43,7.58,13.01
608,M,c,-4,1.65,3.49,5.14
608,M,c,-3,1.44,10.45,11.89
608,M,c,-2,0.55,0.77,1.32
608,M,c,-1,-0.12,2.24,2.12
608,M,c,1,-4.83,-2.49,-7.32
608,M,c,2,3.83,3.22,7.05
608,M,c,3,1.87,4,5.87
608,M,c,4,2.12,4.34,6.46
608,M,c,5,9.06,4.58,13.64
608,M,c,6,5.17,3.53,8.7
608,M,c,7,1.44,2.22,3.66
608,M,c,8,3.51,5.52,9.03
608,M,c,9,1.13,3.54,4.67
608,M,c,10,6.54,2.69,9.23
608,M,c,11,6.26,5.5,11.76
608,M,c,12,8.2,4.48,12.68
608,M,c,13,7.72,6.97,14.69
608,M,c,14,5.58,7.89,13.47
608,M,c,15,4.75,2.18,6.93
608,M,c,16,5.19,1.24,6.43
608,M,c,17,4.82,3.88,8.7
608,M,c,18,8.62,1.67,10.29
608,M,c,19,8.14,3.37,11.51
608,M,c,20,9,4.31,13.31
608,M,c,21,8.55,4.1,12.65
608,M,c,22,-1.89,7.55,5.66
608,M,c,23,5.42,2.51,7.93
608,M,c,24,6.31,3.82,10.13
608,M,c,25,5.67,2.55,8.22
608,M,c,26,4.56,2.62,7.18
608,M,c,27,4.64,1.41,6.05
608,M,c,28,4.34,6.21,10.55
624,M,c,-7,5.86,0.53,6.39
624,M,c,-6,2.765,3.995,6.76
624,M,c,-5,5.24,3.28,8.52
624,M,c,-4,0.83,0.82,1.65
624,M,c,-3,0.97,2.53,3.5
624,M,c,-2,0.14,1.64,1.78
624,M,c,-1,-0.05,1.38,1.33
624,M,c,1,-6.71,-2.12,-8.83
624,M,c,2,0.46,6.4,6.86
624,M,c,3,5.91,5.33,11.24
624,M,c,4,2.73,4.68,7.41
624,M,c,5,4.82,0.63,5.45
624,M,c,6,4.85,5.87,10.72
624,M,c,7,3.76,5.24,9
624,M,c,8,4.84,7.47,12.31
624,M,c,9,1.33,3.41,4.74
624,M,c,10,7.04,1.63,8.67
624,M,c,11,4.02,5.58,9.6
624,M,c,12,7.04,6.58,13.62
624,M,c,13,8.29,4.74,13.03
624,M,c,14,7.07,3.09,10.16
624,M,c,15,4.65,-0.26,4.39
624,M,c,16,6.43,0.82,7.25
624,M,c,17,4.19,3.63,7.82
624,M,c,18,5.54,5.67,11.21
624,M,c,19,3.23,4.94,8.17
624,M,c,20,3.98,4.18,8.16
624,M,c,21,4.37,4.76,9.13
624,M,c,22,6.16,2.28,8.44
624,M,c,23,6.31,4.67,10.98
624,M,c,24,4.47,6.56,11.03
624,M,c,25,4.28,5.4,9.68
624,M,c,26,4.37,6.18,10.55
624,M,c,27,2.42,3.73,6.15
624,M,c,28,2.55,5.02,7.57
630,M,c,-7,5.64,1.6,7.24
630,M,c,-6,8.035,7.975,16.01
630,M,c,-5,6.37,2.35,8.72
630,M,c,-4,5.24,4.31,9.55
630,M,c,-3,6.89,1.44,8.33
630,M,c,-2,1.17,1.46,2.63
630,M,c,-1,1.36,0.91,2.27
630,M,c,1,9.92,6.01,15.93
630,M,c,2,5.54,3.01,8.55
630,M,c,3,2.73,2.97,5.7
630,M,c,4,1.76,6.33,8.09
630,M,c,5,5.68,5.61,11.29
630,M,c,6,5.35,7.45,12.8
630,M,c,7,11.3,9.06,20.36
630,M,c,8,7.05,8.44,15.49
630,M,c,9,5.36,2.27,7.63
630,M,c,10,7.94,5.88,13.82
630,M,c,11,13.67,4,17.67
630,M,c,12,12.05,7.8,19.85
630,M,c,13,11.02,7.25,18.27
630,M,c,14,9.37,8.42,17.79
630,M,c,15,7.3,4.17,11.47
630,M,c,16,9.44,1.31,10.75
