ID,sex,infection,Week,SumLipid,SumProtein,SumTotal
LD553,F,c,0,30.355,69.585,99.94
608,M,c,0,18.095,33.005,51.1
LD238,F,c,0,20.825,21.965,42.79
624,M,c,0,15.755,14.175,29.93
LD578,F,c,0,38.605,38.375,76.98
MK114,M,c,0,26.135,13.935,40.07
Blue004,F,c,0,17.375,29.425,46.8
LD18202,M,c,0,21.775,21.205,42.98
630,M,c,0,34.705,20.045,54.75
690,F,c,0,19.395,26.285,45.68
LD19211,M,c,0,22.075,33.475,55.55
LD243,F,c,0,5.625,59.465,65.09
1217,F,mg,0,11.055,11.695,22.75
LD19208,M,mg,0,25.715,9.775,35.49
Blue014,M,mg,0,37.005,7.665,44.67
SEM1978,F,mg,0,4.775,51.535,56.31
Blue096,M,mg,0,5.835,25.365,31.2
LD541,F,mg,0,35.465,38.765,74.23
609,M,mg,0,30.555,24.505,55.06
LD245,F,mg,0,45.455,25.715,71.17
Blue048,M,mg,0,17.965,19.395,37.36
LD584,F,mg,0,7.115,25.005,32.12
LD586,F,mg,0,32.945,24.005,56.95
616,M,mg,0,17.175,23.935,41.11
LD553,F,c,1,15.35,59.3,74.65
608,M,c,1,18.66,19.4,38.06
LD238,F,c,1,5.7,21.62,27.32
624,M,c,1,15.82,26.03,41.85
LD578,F,c,1,29.2,45.82,75.02
MK114,M,c,1,21.97,31.19,53.16
Blue004,F,c,1,28.77,24.65,53.42
LD18202,M,c,1,14.13,19.45,33.58
630,M,c,1,42.28,40.44,82.72
690,F,c,1,24.51,32.21,56.72
LD19211,M,c,1,42.11,45.53,87.64
LD243,F,c,1,26.88,56.31,83.19
1217,F,mg,1,12.12,16.72,28.84
LD19208,M,mg,1,11.6,13.97,25.57
LD541,F,mg,1,17.02,11.54,28.56
609,M,mg,1,18.6,25.27,43.87
LD245,F,mg,1,14.36,32.73,47.09
Blue048,M,mg,1,15.46,12.17,27.63
LD584,F,mg,1,5.47,14.08,19.55
LD586,F,mg,1,22.76,22.94,45.7
616,M,mg,1,17.03,14.9,31.93
LD553,F,c,2,28.76,79.52,108.28
608,M,c,2,38.94,36.59,75.53
LD238,F,c,2,17.07,50.23,67.3
624,M,c,2,39.63,32.5,72.13
LD578,F,c,2,43.43,57.07,100.5
MK114,M,c,2,36.52,57.82,94.34
Blue004,F,c,2,38.25,28.33,66.58
LD18202,M,c,2,26.44,59.02,85.46
630,M,c,2,66.46,44.06,110.52
690,F,c,2,35.41,60.44,95.85
LD19211,M,c,2,44.37,34.9,79.27
LD243,F,c,2,25.2,68.71,93.91
1217,F,mg,2,22.08,29.99,52.07
LD19208,M,mg,2,31.64,33.88,65.52
LD541,F,mg,2,25.9,42.08,67.98
609,M,mg,2,23.26,40.72,63.98
LD245,F,mg,2,24.13,50.27,74.4
Blue048,M,mg,2,7.81,35.36,43.17
LD584,F,mg,2,19.26,40.59,59.85
LD586,F,mg,2,28.71,42.25,70.96
616,M,mg,2,31.92,25.29,57.21
LD553,F,c,3,45.59,73.28,118.87
608,M,c,3,49.07,20.75,69.82
LD238,F,c,3,18.55,33.3,51.85
624,M,c,3,32.39,23.74,56.13
LD578,F,c,3,35.29,51.08,86.37
MK114,M,c,3,38.48,34.39,72.87
Blue004,F,c,3,53.19,32.39,85.58
LD18202,M,c,3,21.47,38.03,59.5
630,M,c,3,61.99,31.13,93.12
690,F,c,3,38.53,39.88,78.41
LD19211,M,c,3,51.48,27.74,79.22
LD243,F,c,3,46.81,53.73,100.54
1217,F,mg,3,22.34,21.26,43.6
LD19208,M,mg,3,29.47,22.37,51.84
LD541,F,mg,3,25.18,40.78,65.96
609,M,mg,3,15.92,62.26,78.18
LD245,F,mg,3,33.56,36.99,70.55
Blue048,M,mg,3,23.49,24.02,47.51
LD584,F,mg,3,16.38,35.39,51.77
LD586,F,mg,3,51.96,13.67,65.63
616,M,mg,3,15.54,42.48,58.02
LD553,F,c,4,44.36,78.7,123.06
608,M,c,4,29.05,26.67,55.72
LD238,F,c,4,30.62,27.54,58.16
624,M,c,4,30.56,33.84,64.4
LD578,F,c,4,38.16,58.87,97.03
MK114,M,c,4,32.36,17.33,49.69
Blue004,F,c,4,38.12,44.47,82.59
LD18202,M,c,4,32.49,36.04,68.53
630,M,c,4,36.25,44.2,80.45
690,F,c,4,64.8,62.06,126.86
LD19211,M,c,4,62.28,54.68,116.96
LD243,F,c,4,56.61,62.28,118.89
1217,F,mg,4,24.25,18.13,42.38
LD19208,M,mg,4,28.25,17.77,46.02
LD541,F,mg,4,53.04,61.4,114.44
609,M,mg,4,38.17,57.2,95.37
LD245,F,mg,4,56.97,54.61,111.58
Blue048,M,mg,4,37.73,24.38,62.11
LD584,F,mg,4,28.79,32.44,61.23
LD586,F,mg,4,60.05,29.63,89.68
616,M,mg,4,45.96,46.65,92.61
