Bird,Sex,Infection,Day,ES
LD553,F,Control,1,0
LD238,F,Control,1,0
LD578,F,Control,1,0
690,F,Control,1,0
LD243,F,Control,1,0
Blue004,F,Control,1,0
608,M,Control,1,0
624,M,Control,1,0
MK114,M,Control,1,0
630,M,Control,1,0
LD19211,M,Control,1,0
LD18202,M,Control,1,0
1217,F,MG,1,0
LD586,F,MG,1,0
LD541,F,MG,1,0
LD584,F,MG,1,0
LD245,F,MG,1,0
LD19208,M,MG,1,0
Blue048,M,MG,1,0
609,M,MG,1,0
616,M,MG,1,0
Blue096,M,MG,1,0
Blue014,M,MG,1,0
LD18221,M,MG,1,0
SEM1978,F,MG,1,0
LD553,F,Control,3,0
LD238,F,Control,3,0
LD578,F,Control,3,0
690,F,Control,3,0
LD243,F,Control,3,0
Blue004,F,Control,3,0
608,M,Control,3,0
624,M,Control,3,0
MK114,M,Control,3,0
630,M,Control,3,0
LD19211,M,Control,3,0
LD18202,M,Control,3,0
1217,F,MG,3,1
LD586,F,MG,3,0
LD541,F,MG,3,0
LD584,F,MG,3,0
LD245,F,MG,3,0
LD19208,M,MG,3,0
Blue048,M,MG,3,6
609,M,MG,3,4.5
616,M,MG,3,5.5
Blue096,M,MG,3,1
Blue014,M,MG,3,0
LD18221,M,MG,3,0
SEM1978,F,MG,3,0
LD553,F,Control,5,0
LD238,F,Control,5,0
LD578,F,Control,5,0
690,F,Control,5,0
LD243,F,Control,5,0
Blue004,F,Control,5,0
608,M,Control,5,0
624,M,Control,5,0
MK114,M,Control,5,0
630,M,Control,5,0
LD19211,M,Control,5,0
LD18202,M,Control,5,0
1217,F,MG,5,4
LD586,F,MG,5,0
LD541,F,MG,5,0
LD584,F,MG,5,2.5
LD245,F,MG,5,2.5
LD19208,M,MG,5,3.5
Blue048,M,MG,5,6
609,M,MG,5,6
616,M,MG,5,6
Blue096,M,MG,5,6
Blue014,M,MG,5,3
LD18221,M,MG,5,0
SEM1978,F,MG,5,0
LD553,F,Control,7,0
LD238,F,Control,7,0
LD578,F,Control,7,0
690,F,Control,7,0
LD243,F,Control,7,0
Blue004,F,Control,7,0
608,M,Control,7,0
624,M,Control,7,0
MK114,M,Control,7,0
630,M,Control,7,0
LD19211,M,Control,7,0
LD18202,M,Control,7,0
1217,F,MG,7,6
LD586,F,MG,7,0
LD541,F,MG,7,1
LD584,F,MG,7,2
LD245,F,MG,7,4.5
LD19208,M,MG,7,5
Blue048,M,MG,7,6
609,M,MG,7,6
616,M,MG,7,6
Blue096,M,MG,7,2
LD553,F,Control,10,0
LD238,F,Control,10,0
LD578,F,Control,10,0
690,F,Control,10,0
LD243,F,Control,10,0
Blue004,F,Control,10,0
608,M,Control,10,0
624,M,Control,10,0
MK114,M,Control,10,0
630,M,Control,10,0
LD19211,M,Control,10,0
LD18202,M,Control,10,0
1217,F,MG,10,0
LD586,F,MG,10,0
LD541,F,MG,10,0
LD584,F,MG,10,0
LD245,F,MG,10,2.5
LD19208,M,MG,10,0
Blue048,M,MG,10,6
609,M,MG,10,5.5
616,M,MG,10,5
LD553,F,Control,14,0
LD238,F,Control,14,0
LD578,F,Control,14,0
690,F,Control,14,0
LD243,F,Control,14,0
Blue004,F,Control,14,0
608,M,Control,14,0
624,M,Control,14,0
MK114,M,Control,14,0
630,M,Control,14,0
LD19211,M,Control,14,0
LD18202,M,Control,14,0
1217,F,MG,14,0
LD586,F,MG,14,0
LD541,F,MG,14,0
LD584,F,MG,14,0
LD245,F,MG,14,0
LD19208,M,MG,14,0
Blue048,M,MG,14,6
609,M,MG,14,3
616,M,MG,14,3.5
LD553,F,Control,16,0
LD238,F,Control,16,0
LD578,F,Control,16,0
690,F,Control,16,0
LD243,F,Control,16,0
Blue004,F,Control,16,0
608,M,Control,16,0
624,M,Control,16,0
MK114,M,Control,16,0
630,M,Control,16,0
LD19211,M,Control,16,0
LD18202,M,Control,16,0
1217,F,MG,16,0
LD586,F,MG,16,0
LD541,F,MG,16,0
LD584,F,MG,16,0
LD245,F,MG,16,0
LD19208,M,MG,16,0
Blue048,M,MG,16,6
609,M,MG,16,0
616,M,MG,16,0
LD553,F,Control,18,0
LD238,F,Control,18,0
LD578,F,Control,18,0
690,F,Control,18,0
LD243,F,Control,18,0
Blue004,F,Control,18,0
608,M,Control,18,0
624,M,Control,18,0
MK114,M,Control,18,0
630,M,Control,18,0
LD19211,M,Control,18,0
LD18202,M,Control,18,0
1217,F,MG,18,0
LD586,F,MG,18,0
LD541,F,MG,18,0
LD584,F,MG,18,0
LD245,F,MG,18,0
LD19208,M,MG,18,0
Blue048,M,MG,18,6
609,M,MG,18,0
616,M,MG,18,0
LD553,F,Control,21,0
LD238,F,Control,21,0
LD578,F,Control,21,0
690,F,Control,21,0
LD243,F,Control,21,0
Blue004,F,Control,21,0
608,M,Control,21,0
624,M,Control,21,0
MK114,M,Control,21,0
630,M,Control,21,0
LD19211,M,Control,21,0
LD18202,M,Control,21,0
1217,F,MG,21,0
LD586,F,MG,21,0
LD541,F,MG,21,0
LD584,F,MG,21,0
LD245,F,MG,21,0
LD19208,M,MG,21,0
Blue048,M,MG,21,6
609,M,MG,21,1
616,M,MG,21,0
LD553,F,Control,23,0
LD238,F,Control,23,0
LD578,F,Control,23,0
690,F,Control,23,0
LD243,F,Control,23,0
Blue004,F,Control,23,0
608,M,Control,23,0
624,M,Control,23,0
MK114,M,Control,23,0
630,M,Control,23,0
LD19211,M,Control,23,0
LD18202,M,Control,23,0
1217,F,MG,23,0
LD586,F,MG,23,0
LD541,F,MG,23,0
LD584,F,MG,23,0
LD245,F,MG,23,0
LD19208,M,MG,23,0
Blue048,M,MG,23,6
609,M,MG,23,0
616,M,MG,23,0
LD553,F,Control,25,0
LD238,F,Control,25,0
LD578,F,Control,25,0
690,F,Control,25,0
LD243,F,Control,25,0
Blue004,F,Control,25,0
608,M,Control,25,0
624,M,Control,25,0
MK114,M,Control,25,0
630,M,Control,25,0
LD19211,M,Control,25,0
LD18202,M,Control,25,0
1217,F,MG,25,0
LD586,F,MG,25,0
LD541,F,MG,25,0
LD584,F,MG,25,0
LD245,F,MG,25,0
LD19208,M,MG,25,0
Blue048,M,MG,25,6
609,M,MG,25,0
616,M,MG,25,0
LD553,F,Control,28,0
LD238,F,Control,28,0
LD578,F,Control,28,0
690,F,Control,28,0
LD243,F,Control,28,0
Blue004,F,Control,28,0
608,M,Control,28,0
624,M,Control,28,0
MK114,M,Control,28,0
630,M,Control,28,0
LD19211,M,Control,28,0
LD18202,M,Control,28,0
1217,F,MG,28,0
LD586,F,MG,28,0
LD541,F,MG,28,0
LD584,F,MG,28,0
LD245,F,MG,28,0
LD19208,M,MG,28,0
Blue048,M,MG,28,6
609,M,MG,28,0
616,M,MG,28,0
LD553,F,Control,30,0
LD238,F,Control,30,0
LD578,F,Control,30,0
690,F,Control,30,0
LD243,F,Control,30,0
Blue004,F,Control,30,0
608,M,Control,30,0
624,M,Control,30,0
MK114,M,Control,30,0
630,M,Control,30,0
LD19211,M,Control,30,0
LD18202,M,Control,30,0
1217,F,MG,30,0
LD586,F,MG,30,0
LD541,F,MG,30,0
LD584,F,MG,30,0
LD245,F,MG,30,0
LD19208,M,MG,30,0
Blue048,M,MG,30,6
609,M,MG,30,0
616,M,MG,30,0
LD553,F,Control,32,0
LD238,F,Control,32,0
LD578,F,Control,32,0
690,F,Control,32,0
LD243,F,Control,32,0
Blue004,F,Control,32,0
608,M,Control,32,0
624,M,Control,32,0
MK114,M,Control,32,0
630,M,Control,32,0
LD19211,M,Control,32,0
LD18202,M,Control,32,0
1217,F,MG,32,0
LD586,F,MG,32,0
LD541,F,MG,32,0
LD584,F,MG,32,0
LD245,F,MG,32,0
LD19208,M,MG,32,0
Blue048,M,MG,32,6
609,M,MG,32,0
616,M,MG,32,0
LD553,F,Control,35,0
LD238,F,Control,35,0
LD578,F,Control,35,0
690,F,Control,35,0
LD243,F,Control,35,0
Blue004,F,Control,35,0
608,M,Control,35,0
624,M,Control,35,0
MK114,M,Control,35,0
630,M,Control,35,0
LD19211,M,Control,35,0
LD18202,M,Control,35,0
1217,F,MG,35,0
LD586,F,MG,35,0
LD541,F,MG,35,0
LD584,F,MG,35,0
LD245,F,MG,35,0
LD19208,M,MG,35,0
Blue048,M,MG,35,6
609,M,MG,35,0
616,M,MG,35,0
